run,metric,value,baseline,delta,improved
content_q0010,ViT-L/14 CLIP,0.288824,0.278400,0.010424,yes
content_q0010,ViT-B/16 CLIP,0.335375,0.313000,0.022375,yes
content_q0010,ViT-B/32 CLIP,0.302853,0.313100,-0.010247,no
content_q0010,PIQE,62.309422,59.930000,2.379422,no
content_q0010,MUSIQ,53.899444,51.360000,2.539444,yes
content_q0020,ViT-L/14 CLIP,0.288860,0.278400,0.010460,yes
content_q0020,ViT-B/16 CLIP,0.328856,0.313000,0.015856,yes
content_q0020,ViT-B/32 CLIP,0.304970,0.313100,-0.008130,no
content_q0020,PIQE,62.624196,59.930000,2.694196,no
content_q0020,MUSIQ,55.033799,51.360000,3.673799,yes
content_q0040,ViT-L/14 CLIP,0.287199,0.278400,0.008799,yes
content_q0040,ViT-B/16 CLIP,0.337779,0.313000,0.024779,yes
content_q0040,ViT-B/32 CLIP,0.310882,0.313100,-0.002218,no
content_q0040,PIQE,64.685422,59.930000,4.755422,no
content_q0040,MUSIQ,54.088773,51.360000,2.728773,yes
