run,metric,value,baseline,delta,improved
checkpoint_eval_q0005_11000,ViT-L/14 CLIP,0.266876,0.278400,-0.011524,no
checkpoint_eval_q0005_11000,ViT-B/16 CLIP,0.312086,0.313000,-0.000914,no
checkpoint_eval_q0005_11000,ViT-B/32 CLIP,0.306772,0.313100,-0.006328,no
checkpoint_eval_q0005_11000,PIQE,61.366190,59.930000,1.436190,no
checkpoint_eval_q0005_11000,MUSIQ,56.876076,51.360000,5.516076,yes
checkpoint_eval_q0005_11500,ViT-L/14 CLIP,0.267341,0.278400,-0.011059,no
checkpoint_eval_q0005_11500,ViT-B/16 CLIP,0.318798,0.313000,0.005798,yes
checkpoint_eval_q0005_11500,ViT-B/32 CLIP,0.312202,0.313100,-0.000898,no
checkpoint_eval_q0005_11500,PIQE,60.598685,59.930000,0.668685,no
checkpoint_eval_q0005_11500,MUSIQ,56.230666,51.360000,4.870666,yes
frequency_q0005,ViT-L/14 CLIP,0.271067,0.278400,-0.007333,no
frequency_q0005,ViT-B/16 CLIP,0.319440,0.313000,0.006440,yes
frequency_q0005,ViT-B/32 CLIP,0.315881,0.313100,0.002781,yes
frequency_q0005,PIQE,61.998288,59.930000,2.068288,no
frequency_q0005,MUSIQ,56.573508,51.360000,5.213508,yes
