run,metric,value,baseline,delta,improved
frequency_q0005,ViT-L/14 CLIP,0.271067,0.278400,-0.007333,no
frequency_q0005,ViT-B/16 CLIP,0.319440,0.313000,0.006440,yes
frequency_q0005,ViT-B/32 CLIP,0.315881,0.313100,0.002781,yes
frequency_q0005,PIQE,61.998288,59.930000,2.068288,no
frequency_q0005,MUSIQ,56.573508,51.360000,5.213508,yes
frequency_q0010,ViT-L/14 CLIP,0.270004,0.278400,-0.008396,no
frequency_q0010,ViT-B/16 CLIP,0.318233,0.313000,0.005233,yes
frequency_q0010,ViT-B/32 CLIP,0.299741,0.313100,-0.013359,no
frequency_q0010,PIQE,63.901771,59.930000,3.971771,no
frequency_q0010,MUSIQ,56.444856,51.360000,5.084856,yes
frequency_q0020,ViT-L/14 CLIP,0.274647,0.278400,-0.003753,no
frequency_q0020,ViT-B/16 CLIP,0.320800,0.313000,0.007800,yes
frequency_q0020,ViT-B/32 CLIP,0.315701,0.313100,0.002601,yes
frequency_q0020,PIQE,62.982658,59.930000,3.052658,no
frequency_q0020,MUSIQ,56.450035,51.360000,5.090035,yes
