run,metric,value,baseline,delta,improved
identity,ViT-L/14 CLIP,0.285566,0.278400,0.007166,yes
identity,ViT-B/16 CLIP,0.327941,0.313000,0.014941,yes
identity,ViT-B/32 CLIP,0.322520,0.313100,0.009420,yes
identity,PIQE,65.748740,59.930000,5.818740,no
identity,MUSIQ,56.947380,51.360000,5.587380,yes
content,ViT-L/14 CLIP,0.289189,0.278400,0.010789,yes
content,ViT-B/16 CLIP,0.343709,0.313000,0.030709,yes
content,ViT-B/32 CLIP,0.316544,0.313100,0.003444,yes
content,PIQE,62.903001,59.930000,2.973001,no
content,MUSIQ,55.577168,51.360000,4.217168,yes
full,ViT-L/14 CLIP,0.276166,0.278400,-0.002234,no
full,ViT-B/16 CLIP,0.324031,0.313000,0.011031,yes
full,ViT-B/32 CLIP,0.313305,0.313100,0.000205,yes
full,PIQE,61.410410,59.930000,1.480410,no
full,MUSIQ,56.379683,51.360000,5.019683,yes
