run,metric,value,baseline,delta,improved
quality_l003,ViT-L/14 CLIP,0.270719,0.278400,-0.007681,no
quality_l003,ViT-B/16 CLIP,0.304899,0.313000,-0.008101,no
quality_l003,ViT-B/32 CLIP,0.313624,0.313100,0.000524,yes
quality_l003,PIQE,65.130355,59.930000,5.200355,no
quality_l003,MUSIQ,55.196145,51.360000,3.836145,yes
balanced_l004,ViT-L/14 CLIP,0.262153,0.278400,-0.016247,no
balanced_l004,ViT-B/16 CLIP,0.310138,0.313000,-0.002862,no
balanced_l004,ViT-B/32 CLIP,0.309459,0.313100,-0.003641,no
balanced_l004,PIQE,65.732342,59.930000,5.802342,no
balanced_l004,MUSIQ,54.653815,51.360000,3.293815,yes
global_l0035,ViT-L/14 CLIP,0.263218,0.278400,-0.015182,no
global_l0035,ViT-B/16 CLIP,0.308012,0.313000,-0.004988,no
global_l0035,ViT-B/32 CLIP,0.308804,0.313100,-0.004296,no
global_l0035,PIQE,64.660643,59.930000,4.730643,no
global_l0035,MUSIQ,54.860821,51.360000,3.500821,yes
