run,metric,value,baseline,delta,improved
semantic_l0003,ViT-L/14 CLIP,0.271005,0.278400,-0.007395,no
semantic_l0003,ViT-B/16 CLIP,0.319354,0.313000,0.006354,yes
semantic_l0003,ViT-B/32 CLIP,0.309028,0.313100,-0.004072,no
semantic_l0003,PIQE,64.282049,59.930000,4.352049,no
semantic_l0003,MUSIQ,56.483161,51.360000,5.123161,yes
semantic_l0006,ViT-L/14 CLIP,0.274738,0.278400,-0.003662,no
semantic_l0006,ViT-B/16 CLIP,0.313507,0.313000,0.000507,yes
semantic_l0006,ViT-B/32 CLIP,0.309509,0.313100,-0.003591,no
semantic_l0006,PIQE,62.724339,59.930000,2.794339,no
semantic_l0006,MUSIQ,55.834595,51.360000,4.474595,yes
semantic_l0010,ViT-L/14 CLIP,0.274554,0.278400,-0.003846,no
semantic_l0010,ViT-B/16 CLIP,0.317739,0.313000,0.004739,yes
semantic_l0010,ViT-B/32 CLIP,0.310083,0.313100,-0.003017,no
semantic_l0010,PIQE,61.862961,59.930000,1.932961,no
semantic_l0010,MUSIQ,56.447023,51.360000,5.087023,yes
