run,metric,value,baseline,delta,improved
artifact_q0001,ViT-L/14 CLIP,0.287502,0.278400,0.009102,yes
artifact_q0001,ViT-B/16 CLIP,0.338545,0.313000,0.025545,yes
artifact_q0001,ViT-B/32 CLIP,0.317347,0.313100,0.004247,yes
artifact_q0001,PIQE,60.425517,59.930000,0.495517,no
artifact_q0001,MUSIQ,55.875403,51.360000,4.515403,yes
artifact_q0003,ViT-L/14 CLIP,0.285901,0.278400,0.007501,yes
artifact_q0003,ViT-B/16 CLIP,0.341617,0.313000,0.028617,yes
artifact_q0003,ViT-B/32 CLIP,0.318511,0.313100,0.005411,yes
artifact_q0003,PIQE,62.730646,59.930000,2.800646,no
artifact_q0003,MUSIQ,54.885330,51.360000,3.525330,yes
artifact_q0006,ViT-L/14 CLIP,0.290199,0.278400,0.011799,yes
artifact_q0006,ViT-B/16 CLIP,0.341607,0.313000,0.028607,yes
artifact_q0006,ViT-B/32 CLIP,0.313116,0.313100,0.000016,yes
artifact_q0006,PIQE,59.550065,59.930000,-0.379935,yes
artifact_q0006,MUSIQ,55.631661,51.360000,4.271661,yes
