run,metric,value,baseline,delta,improved
calibration_q005,ViT-L/14 CLIP,0.288989,0.278400,0.010589,yes
calibration_q005,ViT-B/16 CLIP,0.337208,0.313000,0.024208,yes
calibration_q005,ViT-B/32 CLIP,0.298028,0.313100,-0.015072,no
calibration_q005,PIQE,63.354777,59.930000,3.424777,no
calibration_q005,MUSIQ,53.725456,51.360000,2.365456,yes
calibration_q010,ViT-L/14 CLIP,0.288236,0.278400,0.009836,yes
calibration_q010,ViT-B/16 CLIP,0.338016,0.313000,0.025016,yes
calibration_q010,ViT-B/32 CLIP,0.307319,0.313100,-0.005781,no
calibration_q010,PIQE,63.591640,59.930000,3.661640,no
calibration_q010,MUSIQ,53.705855,51.360000,2.345855,yes
calibration_q020,ViT-L/14 CLIP,0.287298,0.278400,0.008898,yes
calibration_q020,ViT-B/16 CLIP,0.340838,0.313000,0.027838,yes
calibration_q020,ViT-B/32 CLIP,0.305734,0.313100,-0.007366,no
calibration_q020,PIQE,62.199286,59.930000,2.269286,no
calibration_q020,MUSIQ,54.546177,51.360000,3.186177,yes
