run,metric,value,baseline,delta,improved
guidance_q10,ViT-L/14 CLIP,0.283251,0.278400,0.004851,yes
guidance_q10,ViT-B/16 CLIP,0.342207,0.313000,0.029207,yes
guidance_q10,ViT-B/32 CLIP,0.305713,0.313100,-0.007387,no
guidance_q10,PIQE,62.375967,59.930000,2.445967,no
guidance_q10,MUSIQ,55.846929,51.360000,4.486929,yes
guidance_q15,ViT-L/14 CLIP,0.288240,0.278400,0.009840,yes
guidance_q15,ViT-B/16 CLIP,0.344256,0.313000,0.031256,yes
guidance_q15,ViT-B/32 CLIP,0.312016,0.313100,-0.001084,no
guidance_q15,PIQE,63.135094,59.930000,3.205094,no
guidance_q15,MUSIQ,55.427759,51.360000,4.067759,yes
guidance_q20,ViT-L/14 CLIP,0.286276,0.278400,0.007876,yes
guidance_q20,ViT-B/16 CLIP,0.338737,0.313000,0.025737,yes
guidance_q20,ViT-B/32 CLIP,0.316393,0.313100,0.003293,yes
guidance_q20,PIQE,61.450295,59.930000,1.520295,no
guidance_q20,MUSIQ,55.599418,51.360000,4.239418,yes
