run,metric,value,baseline,delta,improved
statistics_q001,ViT-L/14 CLIP,0.291274,0.278400,0.012874,yes
statistics_q001,ViT-B/16 CLIP,0.334073,0.313000,0.021073,yes
statistics_q001,ViT-B/32 CLIP,0.308791,0.313100,-0.004309,no
statistics_q001,PIQE,61.278472,59.930000,1.348472,no
statistics_q001,MUSIQ,54.062219,51.360000,2.702219,yes
statistics_q003,ViT-L/14 CLIP,0.293071,0.278400,0.014671,yes
statistics_q003,ViT-B/16 CLIP,0.335430,0.313000,0.022430,yes
statistics_q003,ViT-B/32 CLIP,0.308760,0.313100,-0.004340,no
statistics_q003,PIQE,63.370208,59.930000,3.440208,no
statistics_q003,MUSIQ,54.366879,51.360000,3.006879,yes
statistics_q006,ViT-L/14 CLIP,0.291877,0.278400,0.013477,yes
statistics_q006,ViT-B/16 CLIP,0.333305,0.313000,0.020305,yes
statistics_q006,ViT-B/32 CLIP,0.306259,0.313100,-0.006841,no
statistics_q006,PIQE,61.034154,59.930000,1.104154,no
statistics_q006,MUSIQ,54.442806,51.360000,3.082806,yes
