run,metric,value,baseline,delta,improved
reference_q001,ViT-L/14 CLIP,0.288734,0.278400,0.010334,yes
reference_q001,ViT-B/16 CLIP,0.334765,0.313000,0.021765,yes
reference_q001,ViT-B/32 CLIP,0.299832,0.313100,-0.013268,no
reference_q001,PIQE,64.511250,59.930000,4.581250,no
reference_q001,MUSIQ,54.543825,51.360000,3.183825,yes
reference_q003,ViT-L/14 CLIP,0.290226,0.278400,0.011826,yes
reference_q003,ViT-B/16 CLIP,0.337575,0.313000,0.024575,yes
reference_q003,ViT-B/32 CLIP,0.299237,0.313100,-0.013863,no
reference_q003,PIQE,63.448435,59.930000,3.518435,no
reference_q003,MUSIQ,54.117458,51.360000,2.757458,yes
reference_q006,ViT-L/14 CLIP,0.290524,0.278400,0.012124,yes
reference_q006,ViT-B/16 CLIP,0.329527,0.313000,0.016527,yes
reference_q006,ViT-B/32 CLIP,0.300779,0.313100,-0.012321,no
reference_q006,PIQE,63.233809,59.930000,3.303809,no
reference_q006,MUSIQ,53.134557,51.360000,1.774557,yes
